Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Turkmenistan,TKM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,79.18,69.95,56.19,53.18,57.44,59.38,56.92,57.69,59.91,66.86,69.8,73.01,77.39,84.55,89.02,89.5,89.92,94.44,94.57,86.29,92.07,101.66,108.94,114.27,119.77,126.15,125.94,125.62,125.08
Turks and Caicos Islands,TCA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Uganda,UGA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,17.97,18.51,18.84,19.28,19.03,19.81,20.53,21.57,22.97,22.62,23.06,23.56,24.5,26.4,26.64,28.87,28.37,31.86,39.06,40.13,42.96,43.71,45.66,46.67,48.38,50.19,52.85,53.95,54.87
Ukraine,UKR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,922.42,876.81,784.36,695.29,600,569.42,507.74,483.34,455.47,451.86,433.67,432.52,435.21,465.77,430.87,412.02,417.43,425.72,411.73,351.8,369.85,391.16,379.03,368.05,332.02,279.07,290.1,264.1,274.51
United Arab Emirates,ARE,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,69.71,76.25,74.82,77.76,84.37,90.78,96.09,103.86,108.39,112.69,113.34,127.37,131.6,139.31,148.02,156.7,162.95,174.27,199.89,202.08,208.58,214.63,226.57,237.63,240.02,252.85,259.65,269.82,263.24
United Kingdom,GBR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,757.35,772.6,750.47,733.57,722.7,713.51,733.63,712.03,708.38,682.21,684.83,695.59,677.78,685.43,680.78,674.86,671.96,656.48,636.52,581.69,594.56,551.94,573.41,554.67,513.8,497.74,475.24,461.19,452.08
United States,USA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,5960.28,5918.73,6000.62,6108.08,6199.14,6260.71,6426.07,6675.67,6709.43,6706.4,6861.15,6806.97,6646.96,6706.39,6787.57,6801.82,6707.43,6797.86,6619.98,6194.45,6442.58,6214.43,5968.74,6108.67,6129.04,6003.65,5907.27,5842.8,6023.62
Uruguay,URY,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,28.78,30.39,32,32.54,32.43,32.63,33.92,33.6,33.16,34.18,32.28,31.92,32.25,33.15,35.06,35.24,37.36,36.32,38.86,38.42,36.01,37.55,38.42,37.42,36.9,36.66,37.05,36.11,36.16
Uzbekistan,UZB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,198.68,201.41,191.09,222.99,200.44,191.69,194.11,188.59,199.57,206.42,226.17,230.53,234.34,229.33,231.81,228.86,251.72,249.7,259.18,232.96,238.39,242.35,230.38,232.95,226.09,222.86,230.9,234.92,235.51
Vanuatu,VUT,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.49,0.51,0.53,0.56,0.56,0.57,0.59,0.6,0.6,0.61,0.59,0.57,0.57,0.59,0.58,0.6,0.6,0.73,0.73,0.72,0.74,0.76,0.76,0.76,0.82,0.81,0.86,0.85,0.87
"Venezuela, RB",VEN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,179.99,181.78,185.78,192.12,194.87,203.39,217.57,224.3,222.56,218.78,228,230.8,237.76,230.16,233.76,248.5,241,245.28,257.39,258.18,260.46,259.66,279.3,284.14,285.46,270.98,257.6,243.57,233.92
