Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Lao PDR,LAO,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,7.86,7.72,7.97,7.94,8.24,8.24,8.21,8.4,7.92,7.74,8.07,8.4,8.69,8.91,9.35,9.29,9.66,10.18,10.57,11.41,12.36,12.12,13.11,13.81,14.48,19.02,26.15,29.2,29.27
Latvia,LVA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,25.38,23.66,20.93,17.74,14.76,13.02,13.01,12.43,11.98,11.27,10.49,11.02,11.06,11.17,11.25,11.41,11.94,12.36,12.01,11.22,12.39,11.75,11.54,11.49,11.44,11.5,11.34,11.26,11.66
Lebanon,LBN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,7.22,8.71,8.77,12.15,13.11,15.37,16.4,18.61,18.95,19.93,18.77,20.09,20.07,20.75,21.3,20.73,19.8,18.78,22.53,25.97,25.06,25.76,28.36,28.35,30.31,32.66,33.79,35.6,34.35
Lesotho,LSO,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,3.31,3.37,3.58,3.6,3.61,3.57,3.58,3.59,3.56,4.12,4.08,4.08,3.93,4.01,3.99,4.19,4.26,4.46,4.53,4.75,4.9,5.1,5.28,5.28,5.39,5.39,5.42,5.78,5.85
Liberia,LBR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,3.6,3.33,3.2,3.04,2.87,2.72,2.84,3.02,3.19,3.22,3.38,3.49,3.57,3.71,3.88,4.07,4.28,4.42,4.5,4.9,5.06,5.82,6.56,7.13,8.11,8.91,9.08,9.02,9.2
Libya,LBY,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,105.32,102.72,99.77,100.49,105.69,107.57,109.81,109.57,111.01,109.46,111.3,115.37,120.15,123.42,127.32,133.59,134.75,132.52,138.42,141.57,145.81,115.16,117.93,109.15,102.27,84.88,86.62,96.58,103.04
Liechtenstein,LIE,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.25,0.26,0.25,0.24,0.24,0.25,0.26,0.26,0.26,0.26,0.24,0.26,0.24,0.23,0.21,0.22,0.23,0.2,0.19,0.19,0.19,0.18
Lithuania,LTU,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,45.2,46.93,32.15,26.24,24.22,22.62,23.38,23.17,24.05,21.32,19.62,20.06,20.42,20.6,21.58,22.72,22.85,23.85,23.28,19.71,20.52,19.98,19.9,19,18.55,18.8,18.82,18.73,18.84
Luxembourg,LUX,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,12.2,12.68,12.36,12.57,11.73,9.58,9.66,9.16,8.48,8.87,9.4,9.96,10.74,11.15,12.59,12.82,12.62,12.03,11.96,11.38,11.98,11.83,11.58,11.05,10.56,10.05,9.77,9.92,10.22
"Macao SAR, China",MAC,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,MDG,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,26.26,26.36,26.69,27.15,27.11,27.5,27.55,27.46,28.43,28.1,27.55,26.49,24.37,26.89,25.76,29.51,28.27,29.72,28.53,29.12,29.19,29.12,30.48,29.2,29.68,30,31,29.62,30.57
Malawi,MWI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,10.92,10.22,9.34,8.6,7.33,7.77,8.02,8.17,8.44,8.56,8.76,8.89,9.51,10.01,10.33,10.74,10.83,11.05,11.41,11.29,11.67,12.44,13.12,13.96,14.9,15.82,16.19,16.95,18.32
Malaysia,MYS,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,90.37,97.93,104.66,108.05,114.97,122.59,135.22,143.8,145.71,155.09,166.03,172.15,183.54,193.01,208.59,219.1,226.63,244.16,258.71,238.64,259.16,263.03,265.9,282.94,296.24,297.97,294.86,289.73,306.67
Maldives,MDV,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.21,0.21,0.28,0.26,0.27,0.33,0.35,0.42,0.4,0.52,0.56,0.59,0.72,0.64,0.86,0.84,1,1.01,1.02,1.08,1.14,1.22,1.38,1.39,1.65,1.66,2.12,2.23,2.38
Mali,MLI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,15.82,15.78,15.83,16.06,16.31,16.66,17.78,18.28,19.72,21.3,22.64,22.34,22.62,23.41,25.72,26.68,27,27.94,29.38,29.62,31.8,32.76,33.43,34.62,35.19,36.67,41.04,42.14,43.74
Malta,MLT,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,2.52,2.43,2.41,3.05,2.76,2.62,2.57,2.73,2.63,2.67,2.41,2.78,2.62,2.92,2.92,2.97,3.05,3.14,3.08,2.89,2.99,2.98,3.16,2.83,2.84,2.16,1.87,2.01,2.04
Marshall Islands,MHL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,0.03,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.22,0.22,0.24
Mauritania,MRT,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,6.72,6.96,6.83,7.05,6.98,7.07,7.59,7.88,8.16,8.73,9.15,9.26,9.35,9.53,9.56,9.71,10.09,10.34,9.74,10.53,11.1,11.22,11.67,11.67,12.15,12.83,13.25,13.92,14.08
Mauritius,MUS,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,2.28,2.38,2.47,2.63,2.71,2.77,2.94,3.05,3.33,3.86,4.3,4.4,4.42,4.61,4.64,4.83,5.26,5.4,5.51,5.5,5.78,5.83,5.99,6.12,6.33,6.37,6.53,6.72,6.74
Mexico,MEX,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,392.91,410.91,413.78,433.46,459.06,440.06,466.56,494.35,521.77,505.25,531.67,529.01,534.2,556.09,563.27,586.27,609.01,630.89,660.92,645.32,650.16,664.66,659.24,652.69,645.94,670.1,682.91,678.12,679.88
"Micronesia, Fed. Sts.",FSM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,0.01,0.11,0.12,0.13,0.19,0.19,0.19,0.2,0.2,0.2,0.22,0.21,0.23,0.23,0.23,0.21,0.21,0.19,0.21,0.19,0.2,0.21,0.22,0.22,0.23,0.26,0.26,0.27
Moldova,MDA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,38.42,32.33,27.11,23.72,20.66,18.59,16.83,15.13,13.67,12.3,11.46,11.68,11.82,12.43,12.41,12.7,12.36,12.58,12.45,11.77,12.53,12.69,12.45,11.59,12.22,12.47,12.67,12.7,13.18
Monaco,MCO,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,30.13,32.37,30.23,29.03,27.26,28.18,27.42,28.25,28.65,29.31,30.05,27.51,25.63,25.41,25.18,27.88,30.79,33.49,33.74,34.72,32.05,35.71,39.14,41.59,44.13,45.71,48.09,50.88,52.62
Montenegro,MNE,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,2.58,2.56,2.45,2.46,2.46,2.53,2.56,2.58,2.59,2.56,2.5,2.52,2.52,2.53,2.38,4.16,4.22,4.02,4.49,3.43,4.18,4.03,3.79,3.66,3.56,3.65,3.4,3.52,3.8
Morocco,MAR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,39.68,41.08,42.2,41.89,45,45.62,46.3,48.26,49.18,51.36,52.47,56.36,58.16,58.43,62.98,65.87,68.42,69.66,72.63,73.21,77.02,82.17,84.44,85.26,87.05,89.79,88.66,93.09,94.29
Mozambique,MOZ,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,19.91,19.89,20.23,20.63,20.6,20.85,20.62,19.33,21.41,20.61,19.65,21.97,23.92,24.63,24.26,26.04,25.09,26.74,27.98,25.96,28.23,27.96,29.19,30.63,32.47,32.91,31.91,32.41,35.04
Myanmar,MMR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,55.4,54.9,57.43,60.11,62.63,65.71,65.88,64.71,66.35,71.44,73.31,72.87,73.33,77.68,80.12,83.32,86.32,88.7,87.06,88.09,90.15,88.99,92.79,96.11,101.6,104.97,109.43,119.66,119.65
Namibia,NAM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,9.36,9.31,9.27,9.46,9.58,9.47,9.33,10.01,10.02,10.81,10.92,9.55,10.22,10.72,11.32,12.67,12.05,10.6,13.51,12.92,17.9,19.49,12.7,11.97,12.1,12.84,12.89,11.93
Nauru,NRU,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08
Nepal,NPL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,21.76,22.15,22.01,22.96,23.84,25.08,26.03,27.05,28.02,29.53,30.33,30.84,30.44,31.09,31.42,32.22,32.27,32.72,34.02,35.88,37.22,39.02,40.94,41.84,43.86,43.67,47.07,49.58,51.24
Netherlands,NLD,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,203.96,209.32,208.7,214.22,213.96,219.36,230.29,221.49,221.62,209.17,207.11,208.17,207.69,207.65,209.23,203.58,198.92,198.8,196.57,191.32,202.13,188.89,187.11,186.69,179.38,188.33,188.16,184.55,178.64
New Caledonia,NCL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,71.05,70.51,71.37,70.44,72.17,73.43,73.98,76.28,74.78,77.03,77.19,79.87,81.42,83.85,82.49,83.99,84.25,82.96,82.99,80.19,79.98,79.4,81.67,81.24,81.74,81.69,80.41,82.06,81.33
Nicaragua,NIC,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,9.96,8.6,9.51,10.19,10.5,9.89,9.91,10.66,11.09,12.24,12.78,13,13.48,14.49,14.12,14.44,14.73,14.93,14.79,14.9,15.25,16.39,16.76,16.98,17.87,18.84,19.04,18.96,19.07
Niger,NER,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,13.35,13.87,14.42,15.14,15.69,16.34,17.13,17.77,18.63,19.39,20.21,21.08,21.9,22.83,23.72,24.65,25.62,26.86,28.13,29.51,29.67,31.29,33.75,35.58,37.81,39.61,41.33,43.05,45.05
Nigeria,NGA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,201.33,211.53,223.69,223.58,222.25,216.83,218.06,210.55,200.61,193.53,189.75,202.02,206.59,214.1,217.97,234.45,229.74,227.9,230.83,212.73,234.93,253.11,257.54,271.94,281.65,277.14,284.34,291.17,311.45
Niue,NIU,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
North Macedonia,MKD,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,13.98,13.31,12.72,12.72,12.26,11.9,13.43,12.26,13.03,12.13,11.82,11.88,11.26,12.17,11.95,12.33,12.37,12.81,12.6,11.91,11.75,12.69,12.12,11.24,10.82,10.56,10.53,11.01,10.51
Northern Mariana Islands,MNP,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,45.95,43.38,43.94,45.78,47.32,46.64,47.5,49.11,50.69,52.65,47.28,47.91,47.39,49.32,49.83,48.57,48.99,49.61,48.13,47.53,51.87,50.12,48.98,48.06,48.31,48.58,47.98,46.92,47.34
Oman,OMN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,14.79,19.16,18.13,17.47,17.38,19.32,19.7,21.28,21.51,24.85,27.1,29.87,31.51,32.24,32.12,32.53,42.44,46.22,45.55,48.44,52.48,58.73,65.34,68.28,72.07,76.26,77.84,78.49,82.3
Pakistan,PAK,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,158.45,159.4,168.6,178.42,185.09,195.56,202.6,209.52,213.32,225.89,228.01,231.23,237.64,245.48,262.42,270.7,290.1,306.86,309.84,320.2,314.47,323.17,326.97,337.42,351.04,365.78,389.4,414.6,431.22
Palau,PLW,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,0.01,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.25,0.28,0.27,0.26,0.23,0.22,0.23,0.24,0.24,0.24,0.25,0.25,0.29,0.3,0.32
Panama,PAN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,8.11,8.61,9.29,9.55,9.85,10.07,10.03,9.94,10.98,10.1,10.23,11.63,10.93,11.14,11.25,12.93,13.47,13.5,13.63,15.22,15.88,16.97,17.68,18.03,18.63,18.09,18.3,17.9,18.01
Papua New Guinea,PNG,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,8.48,9.48,10.5,11.59,12.47,13.8,13.61,13.79,13.73,13.64,13.79,14.31,14.57,14.88,15.79,15.27,15.23,15.37,15.04,15.37,15.39,16.39,17.12,18.35,20.04,21.67,22.68,22.9,22.97
Paraguay,PRY,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,32.32,29.33,28.7,28.91,28.9,30.9,30.16,30.87,31.43,31.99,30.89,33.04,32.48,34.76,32.92,33.92,34.38,36.81,36.01,38.07,40.66,41.9,43.28,44.8,46.87,47.31,48.06,50.54,49.17
Peru,PER,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,43.97,42.74,43.61,44.78,47.3,52.08,55.67,56.97,57.16,61.51,62.31,60.5,62.46,62.29,66.67,67.84,67.81,71.71,76.51,80.65,84.65,88.12,88.38,89.84,93.24,94.88,98.04,96.04,96.28
Philippines,PHL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,95.75,95.81,97.95,103.46,111.23,123.41,132.37,140.97,134.68,140.44,142.34,141.89,143.55,146.69,150.44,151.72,144.81,150.35,153.56,155.57,161.17,163.3,168.46,179.82,187.64,196.72,209.48,225.87,232.34
Poland,POL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,442.31,438.09,427.3,426.79,422.11,421.65,436.36,426.14,396.32,385.65,372.23,372.09,364.32,376.24,380.59,382.22,396.05,396.05,389.77,373.95,391.92,387.76,380.78,375.43,362.36,366.25,377.19,390.07,389.65
Portugal,PRT,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,56.31,58.02,62.05,60.96,62.87,66.65,64.99,67.36,72.46,79.26,78.79,78.13,82.99,78,80,82.99,77.8,76.4,74.15,73.27,67.99,67.11,65.41,63.7,63.32,67.43,66.38,70.95,66.82
Puerto Rico,PRI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,14.08,16.24,16.42,17.34,18.23,19.1,20.05,21.69,23.13,25.37,24.23,26.17,30.5,32.04,35.26,44.81,49.05,55.95,60.67,63.19,68.84,72.84,80.86,82.7,88.94,92.46,94.7,97.34,99.83
Romania,ROU,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,245.21,202.75,181.31,169.85,166.4,171.95,175.21,162.58,145.07,129.46,134.09,140.76,137.66,143.5,140.59,138.99,140.42,136.64,134.6,117.96,114.86,119.57,116.87,107.3,106.41,108.09,105.85,108.56,109.01
Russian Federation,RUS,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,3251.77,3155.35,2919.15,2661.84,2378.69,2298.15,2243.3,2122.51,2100.21,2137.21,2194.34,2220.86,2241.45,2317.61,2362.47,2373.12,2445.03,2456.09,2484.91,2339.9,2454,2546.2,2566.17,2529.02,2521.74,2475.69,2470.1,2494.15,2543.4
Rwanda,RWA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,3.77,3.75,3.68,3.59,3.47,3.23,3.37,3.49,3.63,3.85,3.89,4.05,4.16,4.19,4.14,4.07,4.34,4.55,4.74,4.86,5.11,5.04,5.2,5.36,5.4,6.07,6.03,6.09,6.17
Samoa,WSM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.36,0.36,0.36,0.37,0.41,0.41,0.42,0.42,0.42,0.43,0.44,0.46,0.47,0.47,0.49,0.5,0.51,0.5,0.49,0.51,0.52,0.53,0.54,0.55,0.57,0.62,0.66,0.67,0.69
San Marino,SMR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.14,0.15,0.15,0.17,0.17,0.17,0.17,0.18,0.19,0.19
Saudi Arabia,SAU,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,190.64,212.83,227.52,235.98,250.09,255.07,269.71,253.57,271.9,278.67,291.54,297.91,318.25,331.54,349.93,366.49,389.51,412.59,450.11,470.78,514.56,534.21,568.1,585.81,629.39,660.37,664.17,656.08,638.12
Senegal,SEN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,13.77,14.16,14.7,15.05,15.47,15.84,16.66,16.93,17.25,18.53,19.67,19.51,19.03,18.41,20.57,21.34,21.74,21.91,22.85,23.27,24.41,25.49,25.12,26.5,27.14,28.07,29.77,29.75,29.99
Serbia,SRB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,82.03,71.72,66.45,60.69,57.01,63.58,71.06,75.9,75.6,58.28,60.23,62.56,65.84,68.84,74.26,67.42,69.72,69.41,68.09,64.75,64.13,68.46,63.72,64.51,56.6,62.91,64.18,64.5,62.6
Seychelles,SYC,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.22,0.24,0.24,0.26,0.28,0.28,0.32,0.43,0.52,0.61,0.67,0.73,0.63,0.65,0.85,0.79,0.84,0.75,0.81,0.62,0.56,0.52,0.57,0.54,0.6,0.65,0.69,0.74,0.78
Sierra Leone,SLE,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,4.03,4.02,4.13,4.22,4.21,3.87,3.13,3.08,3.06,2.81,3.01,3.6,4.03,4.88,5.28,5.29,6.69,6.01,5.28,5.61,5.36,6,7.11,7.07,7.53,7.46,7.64,7.47,7.19
Singapore,SGP,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,31.61,34.79,37.39,44.28,47.85,49.2,50.64,50.74,49.71,50.66,55.3,55,54.12,51.02,52.45,49.74,50.19,51.45,51.75,52.3,56.04,59.1,58.71,59.62,60.83,62.56,63.96,65.97,66.64
Sint Maarten (Dutch part),SXM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
